time,volume,open,high,low,close
2019-03-04 22:35:00,11,111.750,111.750,111.732,111.734
2019-03-04 22:36:00,7,111.730,111.736,111.728,111.736
2019-03-04 22:37:00,7,111.738,111.738,111.730,111.733
2019-03-04 22:38:00,2,111.736,111.738,111.736,111.738
2019-03-04 22:41:00,1,111.736,111.736,111.736,111.736
2019-03-04 22:43:00,2,111.738,111.740,111.738,111.740
2019-03-04 22:44:00,1,111.742,111.742,111.742,111.742
2019-03-04 22:46:00,2,111.740,111.742,111.740,111.742
2019-03-04 22:47:00,2,111.745,111.748,111.745,111.748
2019-03-04 22:48:00,3,111.750,111.750,111.748,111.750
2019-03-04 22:49:00,7,111.753,111.758,111.753,111.754
2019-03-04 22:52:00,8,111.756,111.761,111.754,111.754
2019-03-04 22:55:00,1,111.752,111.752,111.752,111.752
2019-03-04 22:56:00,10,111.748,111.748,111.736,111.736
2019-03-04 22:57:00,4,111.739,111.742,111.737,111.742
2019-03-04 22:58:00,24,111.744,111.754,111.744,111.749
2019-03-04 22:59:00,4,111.746,111.749,111.746,111.749
2019-03-04 23:00:00,19,111.752,111.764,111.752,111.761
2019-03-04 23:01:00,3,111.758,111.758,111.756,111.758
2019-03-04 23:02:00,2,111.756,111.756,111.752,111.752
2019-03-04 23:03:00,4,111.750,111.750,111.748,111.748
2019-03-04 23:04:00,6,111.750,111.753,111.748,111.748
2019-03-04 23:05:00,4,111.750,111.752,111.748,111.748
2019-03-04 23:06:00,3,111.746,111.746,111.740,111.740
2019-03-04 23:07:00,3,111.738,111.738,111.734,111.734
2019-03-04 23:08:00,13,111.736,111.746,111.734,111.746
2019-03-04 23:09:00,10,111.748,111.748,111.732,111.732
2019-03-04 23:10:00,3,111.730,111.730,111.728,111.730
2019-03-04 23:11:00,9,111.732,111.746,111.732,111.746
2019-03-04 23:12:00,1,111.744,111.744,111.744,111.744
2019-03-04 23:14:00,7,111.742,111.742,111.732,111.732
2019-03-04 23:15:00,2,111.734,111.736,111.734,111.736
2019-03-04 23:16:00,1,111.734,111.734,111.734,111.734
2019-03-04 23:17:00,3,111.736,111.736,111.734,111.736
2019-03-04 23:18:00,4,111.734,111.742,111.734,111.742
2019-03-04 23:21:00,3,111.744,111.748,111.744,111.748
2019-03-04 23:22:00,2,111.746,111.748,111.746,111.748
2019-03-04 23:23:00,3,111.746,111.748,111.746,111.746
2019-03-04 23:25:00,6,111.744,111.744,111.732,111.732
2019-03-04 23:27:00,2,111.735,111.735,111.732,111.732
2019-03-04 23:28:00,3,111.730,111.734,111.730,111.734
2019-03-04 23:30:00,4,111.732,111.735,111.730,111.735
2019-03-04 23:32:00,8,111.738,111.750,111.738,111.746
2019-03-04 23:33:00,1,111.748,111.748,111.748,111.748
2019-03-04 23:35:00,4,111.746,111.748,111.746,111.748
2019-03-04 23:36:00,3,111.746,111.748,111.746,111.746
2019-03-04 23:37:00,10,111.742,111.748,111.736,111.736
2019-03-04 23:38:00,5,111.738,111.748,111.738,111.748
2019-03-04 23:39:00,5,111.750,111.757,111.750,111.754
2019-03-04 23:40:00,10,111.752,111.760,111.746,111.746
2019-03-04 23:42:00,6,111.748,111.748,111.743,111.746
2019-03-04 23:43:00,7,111.743,111.754,111.743,111.752
2019-03-04 23:44:00,19,111.750,111.760,111.740,111.755
2019-03-04 23:45:00,11,111.752,111.752,111.741,111.741
2019-03-04 23:46:00,14,111.738,111.740,111.736,111.736
2019-03-04 23:47:00,8,111.734,111.738,111.730,111.730
2019-03-04 23:48:00,6,111.728,111.730,111.726,111.730
2019-03-04 23:49:00,12,111.733,111.751,111.733,111.746
2019-03-04 23:50:00,6,111.749,111.751,111.744,111.746
2019-03-04 23:51:00,9,111.744,111.751,111.744,111.748
2019-03-04 23:52:00,10,111.752,111.756,111.746,111.748
2019-03-04 23:53:00,3,111.751,111.751,111.746,111.746
2019-03-04 23:54:00,6,111.748,111.754,111.748,111.752
2019-03-04 23:55:00,13,111.748,111.770,111.746,111.768
2019-03-04 23:56:00,7,111.766,111.772,111.766,111.770
2019-03-04 23:57:00,4,111.773,111.778,111.773,111.775
2019-03-04 23:58:00,11,111.778,111.785,111.778,111.778
2019-03-04 23:59:00,5,111.780,111.786,111.780,111.780
2019-03-05 00:00:00,29,111.782,111.787,111.764,111.787
2019-03-05 00:01:00,17,111.790,111.804,111.782,111.804
2019-03-05 00:02:00,10,111.802,111.802,111.790,111.790
2019-03-05 00:03:00,36,111.788,111.808,111.772,111.800
2019-03-05 00:04:00,14,111.802,111.805,111.795,111.796
2019-03-05 00:05:00,13,111.794,111.794,111.777,111.787
2019-03-05 00:06:00,15,111.785,111.796,111.785,111.794
2019-03-05 00:07:00,41,111.796,111.822,111.796,111.820
2019-03-05 00:08:00,11,111.822,111.824,111.808,111.808
2019-03-05 00:09:00,17,111.806,111.824,111.798,111.821
2019-03-05 00:10:00,28,111.824,111.826,111.812,111.820
2019-03-05 00:11:00,10,111.817,111.824,111.815,111.820
2019-03-05 00:12:00,7,111.822,111.822,111.808,111.808
2019-03-05 00:13:00,23,111.810,111.826,111.808,111.815
2019-03-05 00:14:00,11,111.817,111.818,111.807,111.818
2019-03-05 00:15:00,1,111.814,111.814,111.814,111.814
2019-03-05 00:16:00,3,111.812,111.812,111.808,111.808
2019-03-05 00:17:00,14,111.810,111.834,111.810,111.834
2019-03-05 00:18:00,14,111.831,111.831,111.818,111.819
2019-03-05 00:19:00,11,111.822,111.822,111.808,111.812
2019-03-05 00:20:00,21,111.814,111.826,111.814,111.822
2019-03-05 00:21:00,43,111.824,111.852,111.815,111.839
2019-03-05 00:22:00,12,111.837,111.846,111.832,111.844
2019-03-05 00:23:00,16,111.842,111.842,111.826,111.833
2019-03-05 00:24:00,8,111.830,111.832,111.827,111.832
2019-03-05 00:25:00,2,111.829,111.829,111.827,111.827
2019-03-05 00:26:00,4,111.825,111.827,111.822,111.827
2019-03-05 00:28:00,3,111.830,111.834,111.830,111.834
2019-03-05 00:29:00,8,111.832,111.834,111.827,111.829
2019-03-05 00:30:00,17,111.832,111.840,111.826,111.836
2019-03-05 00:31:00,13,111.840,111.848,111.838,111.845
2019-03-05 00:32:00,5,111.848,111.848,111.845,111.848
2019-03-05 00:33:00,14,111.851,111.858,111.843,111.848
2019-03-05 00:34:00,16,111.850,111.861,111.850,111.854
2019-03-05 00:35:00,19,111.856,111.876,111.856,111.870
2019-03-05 00:36:00,20,111.872,111.888,111.868,111.868
2019-03-05 00:37:00,16,111.870,111.875,111.860,111.866
2019-03-05 00:38:00,1,111.868,111.868,111.868,111.868
2019-03-05 00:39:00,5,111.872,111.872,111.866,111.866
2019-03-05 00:40:00,12,111.863,111.865,111.850,111.850
2019-03-05 00:41:00,1,111.854,111.854,111.854,111.854
2019-03-05 00:42:00,14,111.851,111.851,111.844,111.848
2019-03-05 00:43:00,3,111.851,111.851,111.849,111.851
2019-03-05 00:44:00,12,111.848,111.863,111.846,111.856
2019-03-05 00:45:00,6,111.858,111.864,111.858,111.860
2019-03-05 00:46:00,6,111.858,111.861,111.850,111.850
2019-03-05 00:47:00,6,111.848,111.848,111.842,111.845
2019-03-05 00:48:00,4,111.842,111.844,111.842,111.844
2019-03-05 00:49:00,6,111.842,111.849,111.842,111.849
2019-03-05 00:50:00,4,111.852,111.855,111.850,111.855
2019-03-05 00:52:00,8,111.858,111.860,111.850,111.850
2019-03-05 00:53:00,8,111.848,111.852,111.843,111.850
2019-03-05 00:54:00,29,111.852,111.872,111.852,111.870
2019-03-05 00:55:00,63,111.868,111.872,111.854,111.860
2019-03-05 00:56:00,7,111.864,111.864,111.853,111.853
2019-03-05 00:57:00,4,111.850,111.858,111.850,111.858
2019-03-05 00:58:00,9,111.856,111.856,111.850,111.850
2019-03-05 00:59:00,5,111.848,111.848,111.840,111.842
2019-03-05 01:00:00,12,111.845,111.850,111.836,111.836
2019-03-05 01:01:00,9,111.834,111.854,111.834,111.854
2019-03-05 01:02:00,11,111.852,111.852,111.843,111.848
2019-03-05 01:03:00,7,111.846,111.846,111.841,111.841
2019-03-05 01:04:00,16,111.838,111.852,111.834,111.847
2019-03-05 01:05:00,11,111.850,111.852,111.842,111.844
2019-03-05 01:06:00,3,111.842,111.842,111.840,111.842
2019-03-05 01:07:00,6,111.839,111.842,111.834,111.842
2019-03-05 01:08:00,8,111.844,111.844,111.836,111.837
2019-03-05 01:09:00,5,111.834,111.834,111.824,111.824
2019-03-05 01:10:00,11,111.822,111.832,111.822,111.832
2019-03-05 01:11:00,4,111.830,111.832,111.827,111.827
2019-03-05 01:12:00,3,111.830,111.834,111.830,111.834
2019-03-05 01:13:00,7,111.836,111.842,111.834,111.842
2019-03-05 01:14:00,28,111.839,111.858,111.839,111.852
2019-03-05 01:15:00,18,111.854,111.861,111.844,111.851
2019-03-05 01:16:00,11,111.848,111.858,111.845,111.847
2019-03-05 01:17:00,12,111.850,111.852,111.850,111.852
2019-03-05 01:18:00,9,111.854,111.869,111.854,111.864
2019-03-05 01:19:00,12,111.866,111.878,111.866,111.878
2019-03-05 01:20:00,9,111.882,111.884,111.869,111.871
2019-03-05 01:22:00,13,111.868,111.868,111.858,111.858
2019-03-05 01:23:00,12,111.860,111.864,111.858,111.864
2019-03-05 01:24:00,17,111.861,111.861,111.853,111.856
2019-03-05 01:25:00,8,111.853,111.858,111.850,111.851
2019-03-05 01:26:00,5,111.849,111.854,111.849,111.854
2019-03-05 01:27:00,2,111.851,111.854,111.851,111.854
2019-03-05 01:28:00,4,111.850,111.854,111.850,111.854
2019-03-05 01:30:00,6,111.850,111.854,111.848,111.854
2019-03-05 01:31:00,5,111.856,111.866,111.856,111.866
2019-03-05 01:32:00,20,111.869,111.884,111.869,111.876
2019-03-05 01:33:00,33,111.878,111.896,111.878,111.894
2019-03-05 01:34:00,32,111.897,111.932,111.894,111.918
2019-03-05 01:35:00,16,111.916,111.923,111.912,111.912
2019-03-05 01:36:00,25,111.910,111.914,111.895,111.904
2019-03-05 01:37:00,11,111.908,111.908,111.898,111.901
2019-03-05 01:38:00,13,111.904,111.908,111.901,111.903
2019-03-05 01:39:00,53,111.901,111.939,111.901,111.930
2019-03-05 01:40:00,22,111.932,111.938,111.918,111.921
2019-03-05 01:41:00,5,111.919,111.919,111.914,111.914
2019-03-05 01:42:00,14,111.911,111.914,111.904,111.908
2019-03-05 01:43:00,13,111.906,111.912,111.901,111.901
2019-03-05 01:44:00,18,111.903,111.906,111.898,111.901
2019-03-05 01:45:00,79,111.898,111.898,111.859,111.860
2019-03-05 01:46:00,33,111.857,111.857,111.836,111.836
2019-03-05 01:47:00,30,111.834,111.854,111.828,111.853
2019-03-05 01:48:00,10,111.850,111.860,111.850,111.858
2019-03-05 01:49:00,23,111.860,111.866,111.856,111.866
2019-03-05 01:50:00,8,111.864,111.872,111.862,111.872
2019-03-05 01:51:00,18,111.869,111.869,111.858,111.860
2019-03-05 01:52:00,17,111.858,111.858,111.850,111.858
2019-03-05 01:53:00,20,111.856,111.856,111.846,111.846
